Suburb,Rooms,Type,Price,Distance,Bathroom,Car,Region,Log_Price
0,2,0,1480000.0,2.5,1.0,1.0,2,14.207553321415745
0,2,0,1035000.0,2.5,1.0,0.0,2,13.849912950864715
0,3,0,1465000.0,2.5,2.0,0.0,2,14.19736648302693
0,3,0,850000.0,2.5,2.0,1.0,2,13.652992804936396
0,4,0,1600000.0,2.5,1.0,2.0,2,14.285514812209815
0,2,0,941000.0,2.5,1.0,0.0,2,13.754699481266208
0,3,0,1876000.0,2.5,2.0,0.0,2,14.444652941597205
0,2,0,1636000.0,2.5,1.0,2.0,2,14.307765407391587
0,1,2,300000.0,2.5,1.0,1.0,2,12.611541086966115
0,2,0,1097000.0,2.5,1.0,2.0,2,13.90809065083398
0,2,2,700000.0,2.5,2.0,1.0,2,13.45883704259595
0,3,0,1350000.0,2.5,2.0,2.0,2,14.115615891155079
0,2,2,750000.0,2.5,2.0,1.0,2,13.527829818844937
0,2,0,1172500.0,2.5,1.0,1.0,2,13.974649632180673
0,1,2,441000.0,2.5,1.0,1.0,2,12.996802422000108
0,2,0,1310000.0,2.5,1.0,2.0,2,14.085538458535822
0,3,0,1200000.0,2.5,2.0,1.0,2,13.997832948091215
0,3,0,1176500.0,2.5,1.0,1.0,2,13.978055337127943
0,3,0,955000.0,2.5,1.0,0.0,2,13.769467666582738
0,2,0,890000.0,2.5,1.0,1.0,2,13.698977865303197
0,4,0,1330000.0,2.5,2.0,2.0,2,14.100690252077353
0,3,1,900000.0,2.5,2.0,2.0,2,13.710151153416941
0,3,2,1090000.0,2.5,2.0,2.0,2,13.901689171636098
0,2,2,500000.0,2.5,1.0,1.0,2,13.122365377402328
0,2,0,1100000.0,2.5,2.0,1.0,2,13.910821646859095
0,2,0,1315000.0,2.5,1.0,0.0,2,14.089347984049986
0,1,2,426000.0,2.5,1.0,1.0,2,12.962196972666593
0,3,0,1447500.0,2.5,3.0,1.0,2,14.185349179275335
0,1,2,457000.0,2.5,1.0,1.0,2,13.032440858057756
0,2,0,1135000.0,2.5,2.0,2.0,2,13.942144089954521
0,4,0,1542000.0,2.5,3.0,1.0,2,14.248591481613632
0,3,0,1290000.0,2.5,2.0,2.0,2,14.070153551531353
0,3,0,1290000.0,2.5,1.0,1.0,2,14.070153551531353
0,1,2,470000.0,2.5,1.0,1.0,2,13.060490101343552
0,2,0,1180000.0,2.5,1.0,0.0,2,13.981025843899115
0,3,0,1195000.0,2.5,2.0,1.0,2,13.993657580167481
0,2,0,1012500.0,2.5,1.0,0.0,2,13.827934065616665
0,2,0,1030000.0,2.5,1.0,1.0,2,13.845070331079134
2,3,1,840000.0,13.5,2.0,1.0,6,13.641158361294979
2,3,0,730000.0,13.5,2.0,1.0,6,13.500801182986649
2,3,0,770000.0,13.5,2.0,1.0,6,13.554147092530322
2,2,0,603000.0,13.5,1.0,1.0,6,13.30967413408274
2,3,1,700000.0,13.5,2.0,2.0,6,13.45883704259595
2,3,0,600000.0,13.5,1.0,1.0,6,13.304686600863562
2,2,2,500000.0,13.5,1.0,1.0,6,13.122365377402328
2,3,0,720000.0,13.5,1.0,1.0,6,13.487007879880162
2,4,0,785000.0,13.5,1.0,2.0,6,13.573440270649085
2,6,0,725000.0,13.5,3.0,2.0,6,13.493928313146206
2,2,1,450000.0,13.5,1.0,1.0,6,13.017005083966255
2,2,2,515000.0,13.5,1.0,1.0,6,13.151924121391561
2,2,2,530000.0,13.5,1.0,1.0,6,13.180634172318978
2,3,0,895000.0,13.5,1.0,6.0,6,13.704580114574805
2,3,0,805000.0,13.5,1.0,1.0,6,13.598598798635953
2,3,2,752000.0,13.5,1.0,1.0,6,13.530492932718326
2,2,2,440000.0,13.5,1.0,1.0,6,12.994532278619134
2,5,0,755000.0,13.5,2.0,2.0,6,13.534474352733596
2,3,1,700000.0,13.5,2.0,2.0,6,13.45883704259595
2,3,0,830000.0,13.5,1.0,2.0,6,13.629182184591333
2,2,2,462500.0,13.5,1.0,1.0,6,13.044403998094442
2,3,0,670000.0,13.5,2.0,2.0,6,13.415034483903348
2,2,0,675000.0,13.5,1.0,1.0,6,13.42246945133505
2,3,0,1042000.0,13.5,2.0,5.0,6,13.856653460987888
2,3,0,910000.0,13.5,1.0,1.0,6,13.721200977393528
2,4,0,773000.0,13.5,3.0,4.0,6,13.558035621229783
2,3,0,810000.0,13.5,3.0,2.0,6,13.60479076121576
2,3,0,715000.0,13.5,2.0,2.0,6,13.480039220276565
2,3,0,790000.0,13.5,1.0,3.0,6,13.579789490265188
2,3,1,540000.0,13.5,2.0,1.0,6,13.199326270390594
2,3,1,825000.0,13.5,2.0,1.0,6,13.623139877437296
2,3,0,685000.0,13.5,1.0,1.0,6,13.437175577097312
2,3,0,805000.0,13.5,1.0,1.0,6,13.598598798635953
2,2,2,510000.0,13.5,1.0,1.0,6,13.1421679654829
2,3,0,612000.0,13.5,2.0,1.0,6,13.324489195480057
2,3,0,662000.0,13.5,1.0,2.0,6,13.403022345492023
2,4,0,978000.0,13.5,3.0,2.0,6,13.79326597151132
2,3,0,720000.0,13.5,1.0,1.0,6,13.487007879880162
2,4,0,765000.0,13.5,1.0,2.0,6,13.547632419997361
2,4,0,900000.0,13.5,2.0,3.0,6,13.710151153416941
4,2,0,1275000.0,3.3,1.0,0.0,5,14.058457520888082
4,2,0,1455000.0,3.3,1.0,0.0,5,14.190517145872716
4,3,0,2850000.0,3.3,2.0,0.0,5,14.862829903121964
4,3,0,1850000.0,3.3,2.0,0.0,5,14.430696737594902
4,2,0,1436000.0,3.3,1.0,0.0,5,14.177372724968894
4,2,0,1110000.0,3.3,1.0,0.0,5,13.919871474189012
4,2,0,1550000.0,3.3,1.0,1.0,5,14.253766134056512
4,4,0,2300000.0,3.3,2.0,1.0,5,14.648420115681892
4,3,1,1550000.0,3.3,2.0,2.0,5,14.253766134056512
4,3,0,1800000.0,3.3,2.0,1.0,5,14.403297778421795
4,2,0,2120000.0,3.3,1.0,1.0,5,14.566927118346197
4,3,0,1800000.0,3.3,1.0,1.0,5,14.403297778421795
4,3,0,1800000.0,3.3,2.0,1.0,5,14.403297778421795
4,2,0,1810000.0,3.3,1.0,0.0,5,14.408837955728044
4,3,0,2615000.0,3.3,2.0,1.0,5,14.776775037890266
4,5,0,2100000.0,3.3,2.0,1.0,5,14.557448378884015
4,3,0,1300000.0,3.3,1.0,0.0,5,14.077875591662238
4,3,0,1370000.0,3.3,2.0,2.0,5,14.130322027731049
4,2,0,1000000.0,3.3,1.0,0.0,5,13.815511557963774
4,3,0,2575000.0,3.3,2.0,1.0,5,14.761360480429413
4,2,0,1322500.0,3.3,1.0,0.0,5,14.095035198857973
4,2,0,1562500.0,3.3,1.0,0.0,5,14.261798300592488
4,3,0,2000000.0,3.3,2.0,1.0,5,14.508658238524095
4,3,0,1900000.0,3.3,1.0,0.0,5,14.45736497045232
4,3,0,3010000.0,3.3,2.0,0.0,5,14.917450968950916
4,4,0,2800000.0,3.3,3.0,1.0,5,14.845130332288226
4,2,2,647000.0,3.3,1.0,1.0,5,13.380103119076898
